時刻,体表温度,体動,脈周期[ms],ラベル
2023/08/02 17:31:41,32.099998474121094,1.0,476.0,2
2023/08/02 17:31:42,32.099998474121094,1.0,476.0,2
2023/08/02 17:31:43,32.20000076293945,1.0,480.0,2
2023/08/02 17:31:44,32.20000076293945,1.0,480.0,2
2023/08/02 17:31:45,32.20000076293945,1.0,480.0,2
2023/08/02 17:31:46,32.20000076293945,1.0,480.0,2
2023/08/02 17:31:47,32.29999923706055,1.0,476.0,2
2023/08/02 17:31:48,32.29999923706055,1.0,476.0,2
2023/08/02 17:31:49,32.29999923706055,1.0,468.0,2
2023/08/02 17:31:50,32.29999923706055,1.0,468.0,2
2023/08/02 17:31:51,32.400001525878906,1.0,465.0,2
2023/08/02 17:31:52,32.400001525878906,1.0,465.0,2
2023/08/02 17:31:53,32.400001525878906,1.0,465.0,2
2023/08/02 17:31:54,32.5,1.0,465.0,2
2023/08/02 17:31:55,32.5,1.0,465.0,2
2023/08/02 17:31:56,32.5,1.0,461.0,2
2023/08/02 17:31:57,32.5,1.0,461.0,2
2023/08/02 17:31:58,32.5,1.0,458.0,2
2023/08/02 17:31:59,32.599998474121094,1.0,458.0,2
2023/08/02 17:32:00,32.599998474121094,1.0,458.0,2
2023/08/02 17:32:01,32.599998474121094,1.0,458.0,2
2023/08/02 17:32:02,32.70000076293945,1.0,447.0,2
2023/08/02 17:32:03,32.70000076293945,1.0,451.0,2
2023/08/02 17:32:04,32.70000076293945,1.0,451.0,2
2023/08/02 17:32:05,32.79999923706055,1.0,451.0,2
2023/08/02 17:32:06,32.79999923706055,1.0,451.0,2
2023/08/02 17:32:07,32.79999923706055,1.0,454.0,2
2023/08/02 17:32:08,32.900001525878906,1.0,454.0,2
2023/08/02 17:32:09,32.900001525878906,1.0,454.0,2
2023/08/02 17:32:10,32.900001525878906,1.0,451.0,2
2023/08/02 17:32:11,33.0,1.0,454.0,2
2023/08/02 17:32:12,33.0,1.0,454.0,2
2023/08/02 17:32:13,33.0,1.0,454.0,2
2023/08/02 17:32:14,33.0,1.0,454.0,2
2023/08/02 17:32:15,33.0,1.0,458.0,2
2023/08/02 17:32:16,33.099998474121094,1.0,458.0,2
2023/08/02 17:32:17,33.099998474121094,1.0,458.0,2
2023/08/02 17:32:18,33.099998474121094,1.0,458.0,2
2023/08/02 17:32:19,33.099998474121094,1.0,458.0,2
2023/08/02 17:32:20,33.20000076293945,1.0,458.0,2
2023/08/02 17:32:21,33.20000076293945,1.0,458.0,2
2023/08/02 17:32:22,33.20000076293945,1.0,447.0,2
2023/08/02 17:32:23,33.20000076293945,1.0,437.0,2
2023/08/02 17:32:24,33.20000076293945,1.0,437.0,2
2023/08/02 17:32:25,33.29999923706055,1.0,437.0,2
